Diện tích (m2),Số phòng ngủ,Số phòng tắm,Năm xây dựng,Vị trí (Mã vùng),Giá bán (VNĐ)
132,2,1,1950,55156,608758809
136,4,3,2003,55156,822421566
101,1,1,1996,55123,507978846
218,4,3,1988,55111,742000789
50,2,1,1979,55106,350159109
132,3,3,1956,55107,554366483
151,1,3,1971,55111,507240212
244,1,2,1999,55156,815972361
117,3,1,1994,55109,717734162
129,4,2,2023,55123,663178594
181,5,1,2021,55106,589474822
160,4,2,1959,55111,569651108
179,2,3,1963,55199,451582023
287,5,2,1995,55110,841061227
221,4,2,2024,55123,834904739
190,3,3,1955,55109,788854386
51,2,2,1970,55160,504512923
282,2,3,2011,55107,801793905
265,2,1,1968,55106,659701030
78,5,2,2011,55111,886406727
88,1,3,2002,55111,465415668
199,5,3,1973,55199,646095386
217,4,2,2005,55110,726761200
219,1,1,2011,55160,577625699
204,4,2,1983,55106,600592463
80,1,3,1971,55111,382543513
84,5,1,2017,55111,715119292
273,2,2,2006,55160,869581163
160,3,3,1959,55109,529943043
164,2,2,2015,55156,662119371
50,5,1,1957,55111,506870736
196,1,1,1987,55123,390253241
118,2,1,2011,55126,443220200
43,5,1,1977,55160,770457387
271,4,1,1959,55160,979264286
294,3,2,1994,55156,749606606
82,2,1,2014,55111,593478003
121,1,1,2016,55156,285342881
293,4,3,1958,55199,1017700543
64,5,1,1954,55109,581756956
235,3,3,1959,55199,613311944
110,1,3,1961,55126,743336013
79,5,3,2007,55199,687257955
31,5,2,1970,55156,705579331
83,2,2,1970,55156,463791482
135,2,3,2014,55111,588081317
289,1,2,1952,55107,846576612
220,5,1,2018,55156,866972155
247,2,2,2013,55199,709746839
73,3,1,1998,55109,623311120
191,3,1,2021,55107,668206028
231,5,2,1966,55109,631044435
299,2,2,2022,55111,794380368
244,1,3,1981,55160,818466994
281,1,2,2019,55199,856751130
219,1,2,1970,55156,627474528
242,3,2,1956,55123,613834516
237,2,1,1956,55126,444460944
266,2,1,1976,55111,454755861
82,3,1,1957,55109,455568536
246,1,3,2022,55111,637064386
281,1,3,1977,55199,916247194
217,5,3,2015,55106,837633178
70,4,1,2020,55109,451212525
186,2,2,1996,55123,689432203
44,2,3,1959,55111,484005518
94,2,3,1982,55160,537000805
38,4,1,1956,55110,573602051
158,5,3,1952,55126,925978924
165,4,2,1963,55106,890064332
92,1,1,1993,55109,599701686
168,1,1,1995,55123,462414111
110,2,2,2010,55123,384789336
192,3,2,1985,55156,547243830
290,2,2,1962,55107,870260112
260,3,3,1965,55111,604892485
70,4,2,1954,55107,406024626
57,1,1,1987,55110,550215567
164,3,2,1999,55107,454477447
230,4,1,1987,55160,948176096
297,1,1,2005,55110,596551241
